phi,sum_H_xy,sum_H_yx,std_H_xy,std_H_yx,accuracy,f1
0.0,0.05071163186388011,0.034376922000122295,0.0030322188590788954,0.0021083236174016954,0.9995,0.9997499374843711
0.1,0.05144065383723548,0.03182959342872205,0.003193423066745773,0.0019763139037991167,1.0,1.0
0.2,0.06431960472087916,0.025926390102966608,0.006190420231072234,0.0018678734502447735,1.0,1.0
0.3,0.07347241353801898,0.026993134680981322,0.007286733589421642,0.0018869374152826548,1.0,1.0
0.4,0.06793125923534214,0.03051091806987297,0.008097868913227921,0.0026110961053391925,1.0,1.0
0.5,0.07683731153801861,0.03133572814946958,0.01019660490071847,0.0050377894774478104,1.0,1.0
0.6,0.08456005865659405,0.034473700845134216,0.009626302292642046,0.0043503641579863755,1.0,1.0
0.7,0.0745931004014157,0.031294666232757555,0.008729373364015908,0.004047491519568146,1.0,1.0
0.8,0.06201331884021562,0.023030596580402272,0.008033574167575434,0.003634910052299036,1.0,1.0
0.9,0.028993628593527263,0.015998457211467962,0.004589247241744145,0.0023369400748813204,1.0,1.0
