phi,sum_H_xy,sum_H_yx,std_H_xy,std_H_yx,accuracy,f1
0.0,0.03171608574222971,0.032060093542042416,0.003919503392972642,0.004542245631257919,0.4785,0.6472776462631045
0.05,0.03254060795581714,0.0317412901622167,0.004203470675241423,0.00426787502364134,0.5515,0.7109249113760877
0.1,0.034427497557957355,0.031165542030244697,0.004781225921462984,0.003902759641309089,0.683,0.8116458704694
0.15000000000000002,0.03717185622983805,0.03070057989578794,0.005249740553310437,0.0046631380936284295,0.8265,0.9050095811661648
0.2,0.04070351604417477,0.029746832691483732,0.006053583606491142,0.004530936489620612,0.9195,0.958061995311279
0.25,0.045465986728809596,0.028481105332344797,0.007877276999063603,0.004860601523718158,0.958,0.9785495403472931
0.30000000000000004,0.04989863471088749,0.027370581102523935,0.008492552215496689,0.0045338204243852145,0.975,0.9873417721518987
0.35000000000000003,0.05442378811331883,0.02639594665573791,0.010012880622665225,0.004600912893837377,0.985,0.9924433249370278
0.4,0.05884865578455165,0.02526414443799006,0.01055100999649778,0.004225162895256099,0.991,0.9954796584630838
0.45,0.06320214291102433,0.024361910276683194,0.011217484814329794,0.004327762003994221,0.994,0.9969909729187563
0.5,0.0668450078805359,0.023440557755580575,0.011705926651386714,0.003985264114352461,0.9945,0.997242416645776
0.55,0.07110134103802242,0.022889858581950952,0.01433359471871404,0.004264103223155815,0.994,0.9969909729187563
0.6000000000000001,0.07319196251334796,0.02237929347325307,0.013030430056264867,0.0038033404639754146,0.9985,0.9992494370778084
0.65,0.07694110219565532,0.021881933322242326,0.01411581907777158,0.0042390897745015164,0.9965,0.9982469321312296
0.7000000000000001,0.07958934342255303,0.021275134406138756,0.014701303806320837,0.0037634350712729965,0.999,0.9994997498749374
0.75,0.08219446463071128,0.020744963940471636,0.015012388929910967,0.003589569886734345,0.999,0.9994997498749374
0.8,0.08358770179241475,0.020717643810819232,0.01434995229150609,0.003657755301011352,0.9995,0.9997499374843711
0.8500000000000001,0.08579456881680575,0.02026027807179723,0.014539503351258913,0.003681048005932939,0.999,0.9994997498749374
0.9,0.08736615346743384,0.020137136790639422,0.015099761686090044,0.0038601992322389498,0.999,0.9994997498749374
0.9500000000000001,0.08886058587845212,0.0199266227094416,0.015921621468027943,0.0038309388620058277,0.9995,0.9997499374843711
